JPWORD,ENGWORD
十分,sufficient
ダンス,dance
中世,middle ages
友人,friend
沿岸,coastal
骨,Bone
有力,influential
カバー,cover
長期,long term
各種,Various
吸収,absorption
幸,happiness
この頃,These days
エジプト,Egypt
常に,always
塁,base
爆発,explosion
ミニ,mini
守備,defense
主人,master
山形,Yamagata
新幹線,bullet train
無料,free
空気,air
承認,approval
栄,Sakae
雲,cloud
リスト,list
負傷,injury
閉鎖,closure
箱,box
初頭,beginning
依頼,request
国境,border
世にも,In the world
銅,copper
単行本,Hardcover
純,Pure
創業,Founding
ジェームズ,james
進,Susumu
刑,punishment
剣,sword
ブレーキ,brake
ベトナム,Vietnam
皆,all
牛,Cow
再生,reproduction
創立,Founding
誇る,be proud of
週刊,Weekly
過程,process
数学,Math
グランプリ,Grand Prix
実質,Really
財団,foundation
出現,Appearance
茨城,Ibaraki
即位,Enthronement
価値,value
インディアン,Indian
徐々,gradually
沿う,follow
ばかり,Only
アクセス,access
ボール,ball
建つ,stand
青年,youth
現地,local
箇所,part
高橋,Takahashi
司会,host
護衛,escort
幕,curtain
創刊,First issue
縁,edge
電動,electric
シート,sheet
保守,Maintenance
養子,adopted child
注意,Note
渡,Watari
善,good
参謀,staff officer
最近,recently
バイパス,bypass
中学,Junior high school
下る,go down
講師,Teacher
厳しい,strict
河川,river
ドア,door
戦士,warrior
意,meaning
税,tax
兵士,soldier
巡洋艦,cruiser
フィルム,film
バー,bar
悪化,worsening
慶応,Keio
難しい,difficult
もしくは,or
母親,mother
覆う,cover
集落,village
甲,Instep
免許,driver licence
間も無く,Before long
交代,replacement
イオン,ion
議長,chairman
盛ん,thriving
ジャパン,Japan
先発,starter
仲,Naka
コミック,comics
押す,push
茂,Shigeru
スペース,space
努める,strive
エンターテインメント,entertainment
功,Success
料金,Fee
学習,study
好き,like
子会社,subsidiary
下記,the below described
トルコ,Türkiye
替える,change
古墳,ancient tomb
表面,surface
神経,nerve
家督,family head
午後,afternoon
サイド,side
ウクライナ,ukraine
発達,development
構想,concept
ダウン,down
変換,conversion
衝突,collision
全長,full length
体重,body weight
一族,clan
爆撃,bombing
昌,Chang
放射,radiation
等,etc
境界,boundary
披露,Show off
次男,second son
転換,conversion
改修,Refurbishment
岩手,Iwate
レッド,red
要請,request
富,wealth
清水,Shimizu
避ける,avoid
落とす,drop
典,Noriyoshi
ロサンゼルス,Los Angeles
投資,investment
オペラ,opera
妹,younger sister
な,Na
手段,means
大使,ambassador
孝,filial piety
香,Incense
教皇,pope
上陸,landing
合,If
しかしながら,however
暫く,for a while
枝,branch
最多,Most
希望,hope
資本,capital
福井,Fukui
こちら,here
ジャンプ,jump
初回,First time
加藤,Kato
共演,Co-starring
左右,left and right
生命,life
台車,trolley
知識,knowledge
教える,teach
抜く,pull out
大和,Yamato
雨,rain
キャリア,career
穴,hole
数字,numbers
血,blood
区分,classification
鬼,demon
発着,Arrival and departure
南東,southeast
歴代,successive generations
トマス,thomas
廃,waste
電鉄,electric railway
塚,Mound
具体,concrete
売却,sale
癌,cancer
酒,Liquor
アクション,action
半ば,middle
環,ring
もたらす,bring
休止,pause
トーナメント,tournament
ギリシア,greece
格,case
燐,phosphorus
親王,Prince
姉妹,sisters
房,bunch
霊,spirit
規則,rules
伊勢,Ise
商,quotient
人員,personnel
バラエティー,variety
様式,style
竹,bamboo
修正,correction
そのよう,Like that
協定,agreement
小林,Kobayashi
複雑,complicated
スクール,school
ジャン,Jean
古典,classic
珍しい,rare
近く,near
登板,pitching
大部分,most part
興行,entertainment
茶,tea
容易,easy
両者,both
殺人,murder
育成,nurturing
正確,correct
震災,Earthquake
栃木,Tochigi
望む,wish
ロード,Load
和歌山,Wakayama
山脈,mountain range
就く,take office
解釈,interpretation
票,vote
混乱,confusion
ハウス,House
不可能,impossible
ディスク,disk
士官,officer
観,view
将来,future
起源,origin
群馬,Gunma
狙う,aim
伊藤,Ito
ネーム,name
テニス,tennis
現存,Existing
著名,Famous
警備,security
画家,painter
急,Sudden
事情,circumstances
泣く,cry
泰,Tai
補助,auxiliary
ん,yeah
無し,none
輸出,export
マリア,Maria
一番,number one
松平,Matsudaira
虎,tiger
支払う,pay
ロボット,robot
流す,flow
脚,leg
帰る,go home
ターミナル,Terminal
食,food
午前,morning
コミュニティー,community
プロダクション,production
ラン,run
蒸気,vapor
経緯,background
ブラック,black
池田,Ikeda
ボーカル,vocal
一緒,together
エピソード,episode
遠征,expedition
遺産,heritage
打率,batting average
月刊,Monthly
床,floor
提携,Partnership
信仰,faith
予算,budget
ヘンリー,henry
秘密,secret
ロバート,robert
能,Noh
逃げる,run away
生きる,live
職員,Staff
そう,yes
ダイヤ,diamond
平日,weekdays
取り組む,work on
インタビュー,interview
無線,wireless
画像,image
模様,pattern
戦死,Killed in battle
バスケットボール,basketball
進化,evolution
連結,Linking
一旦,Once
教徒,religious
敗北,defeat
沼,Swamp
猫,Cat
脳,brain
外部,external
重ねる,overlap
素,Basic
遂に,finally
議席,seat
著書,book
打ち上げる,launch
楽器,musical instrument
評論,criticism
球場,stadium
守護,protection
上海,Shanghai
戦国,Sengoku
むら,Unevenness
個体,individual
参,three
感染,infection
伸びる,extend
コンビ,combination
弟子,disciple
陥る,fall into
刑事,detective
早稲田,Waseda
西武,Seibu
同期,synchronization
印,mark
銀河,galaxy
型,mold
インターチェンジ,interchange
享年,old age
巡,Tour
重視,emphasis
構築,construction
生かす,make use of
単に,simply
片,Piece
演劇,theater
類似,similar
判明,Turns out
解体,Dismantling
離脱,withdrawal
ルイ,Louis
半分,half
支える,support
魚雷,torpedo
亀,turtle
端末,terminal
授与,bestow
四国,Shikoku
セルビア,Serbia
在学,Currently enrolled in school
仕える,serve
ビジネス,business
譲渡,assignment
包囲,siege
運ぶ,carry
フィールド,field
次元,dimension
油,oil
取り付ける,attach
ビット,bit
倒す,knock down
渡辺,Watanabe
試作,Trial production
保持,Retention
恐れる,fear
グリーン,green
音声,audio
定着,established
配備,deployment
明確,Clear
テキサス,Texas
消防,fire department
両方,both
傷,scratch
夫人,Mrs.
スケート,skate
イスラエル,Israel
未来,future
石油,oil
放つ,Release
参議院,House of Councilors
其の内,Among them
奴隷,slave
因る,due to
聖書,Bible
大手,Major
捜査,investigation
劇団,theater company
佐賀,Saga
桃,peach
広場,square
柱,pillar
レイ,Ray
文献,literature
業者,vendor
人類,Human race
祖,ancestor
魔法,magic
主体,subject
心理,psychology
帰還,return
実業,business
領土,territory
柳,willow
歌詞,lyrics
武田,Takeda
パイロット,pilot
こう,like this
現場,On-site
メモリー,memory
公認,Official recognition
考慮,consideration
湯,Hot water
性質,nature
東洋,oriental
指示,instructions
掲げる,raise
患者,patient
パワー,power
取り入れる,incorporate
故障,breakdown
再度,again
中華人民共和国,People's Republic of China
ファッション,fashion
こそ,Kokoro
オフ,off
傘下,Under the umbrella
攻める,attack
称号,title
スポンサー,sponsor
呉,Kure
高まる,increase
大賞,grand prize
完了,completion
弁,valve
分かつ,divide
ウィーン,vienna
堀,moat
僕,I
自,Self
人工,artificial
満たす,Fulfill
線路,line
訪問,visit
生じる,arise
効率,efficiency
将,general
信頼,trust
様子,state
恋,love
実,fruit
発揮,Demonstration
郊外,suburbs
勃発,outbreak
世帯,household
追放,expulsion
代わり,substitute
卵,egg
得意,good at
プロデュース,produce
国防,national defense
仏教,Buddhism
測定,measurement
騎士,knight
岳,Mt.
一郎,Ichiro
家臣,vassal
地理,geography
職業,Profession
服,clothes
ミュージシャン,musician
貴,Takashi
桁,digit
動画,movie
分岐,branch
現実,reality
ジャズ,jazz
どの,Which
分裂,division
暗殺,assassination
短期,short term
遂げる,accomplish
合意,agreement
相続,inheritance
打撃,blow
張る,stretch
資源,resource
訴える,bring the action
インチ,inch
井上,Inoue
シカゴ,Chicago
クラシック,classic
降伏,Surrender
ウェブ,web
下部,beneath
アニメーション,animation
ベルギー,Belgium
ランド,land
ジャック,jack
パソコン,computer
下す,lower
単純,simple
デンマーク,Denmark
命ずる,order
次々,One by one
帳,book
ハイ,Yes
取り扱う,handle
流行,trend
旬,season
戦時,War time
ジャンル,Genre
辞任,Resignation
栽培,cultivation
敷地,site
局長,Director
水素,hydrogen
強力,powerful
出馬,Running for office
直通,direct line
抱える,hold
一致,match
住,residence
訴訟,lawsuit
翌日,the next day
山梨,Yamanashi
入力,input
援助,assistance
何度,Many times
福祉,welfare
入り口,Entrance
ローカル,local
助ける,help
長年,many years
従って,Therefore
鳥取,Tottori
王子,prince
初期に→初期,In the early days → Early days
案内,guidance
医,medicine
復興,reconstruction
ソウル,Seoul
印刷,printing
連覇,Consecutive victories
モーター,motor
場面,scene
架空,fictitious
メール,Email
商店,store
措置,Measure
少将,Major General
寺院,temple
遺伝子,gene
パーソナリティ,personality
気候,climate
活用,Utilization
スコットランド,Scotland
幅広い,wide range
自社,own company
砦,fort
先行,advance
権力,power
男女,man and woman
抱く,embrace
兼ねる,Also serves as
仮,tentative
不詳,unknown
飛ぶ,jump
コスト,cost
悪,evil
寿,Kotobuki
姿勢,posture
体系,system
吹く,blow
総称,generic term
美しい,beautiful
聖堂,cathedral
リンク,Link
予想,prediction
功績,achievements
神話,mythology
多様,Diverse
往復,round trip
両親,parents
部品,parts
ライター,Writer
国語,national language
策,plan
書籍,books
巨人,Giant
鶴,crane
多寡,amount
十字,cross
育つ,growing up
誘導,induction
費用,cost
自宅,one's home
オープニング,opening
アマチュア,amateur
クイズ,quiz
編曲,arrangement
直線,straight line
コムーネ,Comune
記憶,Memory
エンディング,ending
観客,audience
殻,shell
当主,head of the family
作者,author
防止,prevention
近郊,Suburbs
ヘッド,head
送信,send
整理,Organize
介,Intermediate
記号,symbol
漢字,Chinese characters
し,death
コピー,copy
高松,Takamatsu
切れる,Can be cut
王朝,dynasty
駆動,drive
ブルー,blue
韓,Korea
証券,securities
社名,Company name
急速,rapid
限り,as long as
ドーム,dome
日中,during the day
ライダー,rider
総督,governor
渡す,hand over
亭,Tei
温度,temperature
増す,increase
アイテム,item
峰,peak
恵,Megumi
脱退,Withdrawal
フィンランド,Finland
保つ,keep
制す,control
大橋,Ohashi
若しくは,Or
別名,alias
イスラム,Islam
ボタン,button
好む,prefer
平安,peace
三菱,mitsubishi
原則,principle
象徴,symbol
番線,Platform wire
繁殖,breeding
襲撃,raid
ボード,board
関与,involvement
具,Ingredients
負担,load
チャールズ,charles
専攻,major
申請,Application
ブーム,boom
導く,lead
目立つ,stand out
筋,logic
司教,bishop
熊,bear
造船,shipbuilding
ライセンス,license
タッグ,tag
利益,profit
師事,mentor
博,Hiroshi
絵画,painting
流通,distribution
少数,a few
保障,security
洋,Western
滞在,stay
碑,Monument
荘,Sou
埋める,fill in
転,Rotation
モンゴル,mongolia
実績,Achievements
公表,Announcement
度々,Often
旅団,brigade
依存,dependence
新規,new
選抜,selection
中山,Nakayama
以内,within
上下,top and bottom
ボクシング,boxing
中期,middle period
織田,Oda
オスマン,ottoman
リーダー,leader
酵素,enzyme
俊,Shun
最低,lowest
一切,Nothing
出発,departure
大隊,battalion
停車場,stop
後者,the latter
トーク,Talk
矢,arrow
マイケル,Michael
硝子,glass
意図,intention
プロイセン,prussia
大名,Daimyo
国土,national land
フリードリヒ,friedrich
ロング,long
カット,cut
ウルトラ,ultra
相次ぐ,successive
爆弾,bomb
姉,sister
小学,elementary
流域,basin
気象,weather
来歴,history
白い,white
活性,activity
順位,rank
撤去,Removal
周波,frequency
宝塚,Takarazuka
宿,inn
代理,substitute
幹部,executives
優先,priority
積む,pile up
上野,Ueno
入手,obtain
株,KK
圧倒,overwhelming
ジム,Gym
禄,Roku
譲る,yield
艇,boat
キング,king
赤い,red
卿,Lord
渋谷,Shibuya
学,studies
続編,sequel
複合,composite
騎手,jockey
リード,lead
大字,Oaza
合同,joint
本体,Main body
携わる,be involved
桂,Katsura
動,motion
西洋,western
原題,Original title
ミッション,Mission
理,Reason
造る,make
座席,seat
移民,immigration
数える,count
後方,backward
確定,Confirm
ミス,mistake
描写,depiction
防ぐ,prevent
修,Repair
祖父,grandfather
関心,interest
足る,enough
体験,experience
答える,answer
締結,conclusion
ノルウェー,Norway
輝,Shining
下位,subordinate
腕,arm
前後,Before and after
北朝鮮,north korea
異,different
中将,Lieutenant General
少し,a bit
女王,queen
既存,existing
上部,upper part
イラスト,An illustration
羅,Luo
コメント,comment
イラン,Iran
バレーボール,volleyball
ディーゼル,diesel
今後,from now on
可,Possible
冒険,adventure
実用,Practical
セント,cent
攻略,Strategy
高知,Kochi
ベル,bell
受信,reception
芸,art
違反,violation
顧問,advisor
操縦,maneuver
屋根,roof
解消,Resolved
伝わる,conveyed
大将,General
勇,Isamu
振興,promotion
軍隊,army
転ずる,fall
迫る,approaching
加工,processing
発明,invention
提唱,Advocate
享,Enjoy
パン,bread
取材,Interview
上回る,surpass
参考,reference
コレクション,collection
北条,Hojo
展,exhibition
司法,judiciary
抗議,protest
特許,patent
空母,aircraft carrier
自民党,liberal democratic party
病気,disease
双方,both
玄,Gen
ナショナル,national
絶対,absolute
船団,fleet
海峡,strait
緊急,emergency
競輪,bicycle race
需要,demand
足利,Ashikaga
代替,alternative
実装,implementation
怒る,Get angry
后,after
到達,reach
愛媛,Ehime
損害,damage
一連,series
アルゼンチン,Argentina
ドライバー,driver
修了,Completion
例外,exception
晴,Sunny
独特,Unique
趣味,hobby
並行,parallel
囲む,surround
快速,Rapid
ナイト,night
戦力,military strength
乗り入れる,drive in
密度,density
影,Shadow
棟,ridge
先頭,head
ケーブル,cable
再編,Reorganization
毎日,every day
逃れる,escape
相対,relative
アプリケーション,application
襲う,attack
同日,same day
上映,Screening
競争,competition
子孫,descendants
修道院,monastery
分解,Disassembly
補,Supplementary
区画,section
気筒,cylinder
芝,grass
君,you
任意,Any
連勝,winning streak
発掘,excavation
身体,body
フィリピン,Philippines
クリア,clear
レコーディング,recording
一環,part of
香川,Kagawa
土曜,Saturday
引き起こす,cause
若干,Slightly
隠す,hide
振る,shake
優,Excellent
推薦,Recommendation
先端,tip
廃車,Scrapped car
スピード,speed
よす,Good
改札,ticket gate
平野,plain
委託,consignment
戻す,return
在住,resident
斉,Hitoshi
任,duty
重い,heavy
蛋白,protein
どこ,where
発音,pronunciation
旨,effect
寄る,Stop by
秀吉,Hideyoshi
立候補,Candidate
簡単,easy
露,dew
公立,public
ボディ,body
支部,branch
炎,flame
工,engineering
自殺,suicide
ゴルフ,golf
手続き,procedure
死刑,death penalty
雷,Thunder
主導,Initiative
全面,Full surface
山地,mountains
暴力,violence
クレジット,credit
ロゴ,logo
脱出,escape
手紙,letter
イラク,Iraq
興味,interest
共,Both
高める,enhance
微,slight
キャンパス,campus
飲む,drink
虫,insect
難,difficulty
手術,surgery
接触,contact
キャラ,Character
侍,samurai
捕虜,prisoner of war
評す,evaluate
リチャード,Richard
フットボール,football
書店,bookstore
射撃,shooting
哨戒,patrol
離婚,divorce
金沢,Kanazawa
梅,plum
回路,circuit
用途,Purpose
敗退,Defeat
大日,Dainichi
賞金,Prize money
一家,family
持,Hold
込める,Incorporate
後任,successor
歌劇,opera
耳,ear
数々,many
文明,civilization
講談,lecture
ビッグ,big
エース,ace
遊ぶ,play
願う,wish
伯父,uncle
北米,North America
電波,radio waves
亡命,exile
文学部,Department of literature
保安,security
騎兵,cavalry
滝,waterfall
竣工,Completion
衆,crowd
侵入,intrusion
気温,temperature
礼,Thank you
狭い,narrow
海戦,naval battle
全域,whole area
宣伝,Advertisement
終結,termination
王位,throne
採る,take
ランク,rank
フォード,ford
遅い,slow
回数,number of times
紛争,conflict
社員,employee
国有,Nationally owned
材料,material
面する,face
団地,housing complex
刀,sword
探す,search
フィギュア,figure
コンセプト,concept
連携,alignment
存続,survival
派生,derivative
経路,route
主流,mainstream
ホワイト,white
輝く,shine
数多い,numerous
砂,sand
量産,Mass production
概ね,generally
成分,component
喫する,to smoke
バトル,battle
肉,meat
当日,On the day
火山,volcano
以上,that's all
大佐,Colonel
ライバル,rival
酔う,get drunk
頭部,head
薔薇,Rose
昭,Akira
車線,lane
スト,strike
木村,Kimura
募集,Recruitment
晋,Jin
略,omitted
住居,residence
圧力,pressure
特性,Characteristic
無人,unmanned
共有,share
ソニー,Sony
戦前,Prewar
フランク,Frank
屋敷,mansion
畑,field
出来事,event
つまり,In other words
武蔵,Musashi
こうして,thus
反発,Repulsion
僧,monk
森林,forest
若手,young person
濃い,dark
高級,luxury
修理,repair
成果,Achievement
ネタ,news source
敬,Respect
短編,short story
黒い,black
装着,Attachment
贈る,give
人生,life
要塞,fortress
バイエルン,bayern
サーバー,server
見付かる,be found
開拓,development
仮面,mask
ね,hey
課,Division
ナチス,nazi
知れる,know
基盤,basis
詩人,poets
オール,oar
論理,logic
義務,duty
部族,tribe
財産,property
ところが,However
解析,analysis
当該,concerned
北方,northern
パス,path
レスラー,wrestler
則,rule
炭素,carbon
パターン,pattern
由,Reason
経過,progress
少なくとも,at least
ポケモン,Pokémon
勤める,serve
在位,reign
監視,monitoring
権限,authority
強,strength
転向,conversion
削減,reduction
さえ,even
辺,side
婦,woman
該当,Applicable
日記,diary
太田,Ota
滋賀,Shiga
書記,secretary
ルイス,Lewis
そんな,That kind of thing
上院,senate
シナリオ,scenario
怪我,injury
奉行,magistrate
一員,member
促進,promotion
題する,title
カレッジ,college
異常,abnormality
災害,disaster
応援,support
根拠,basis
位置付ける,position
誤る,make a mistake
収集,collection
化合,combination
支店,branch
信用,credit
触れる,touch
固有,unique
捨てる,dispose of
本土,main land
五郎,Goro
役所,Government office
処刑,execution
火災,fire
マガジン,magazine
松山,Matsuyama
学術,academic
差別,discrimination
初演,premiere
通行,Passage
パッケージ,package
謎,mystery
航海,voyage
正しい,correct
味,taste
中野,Nakano
軒,eave
塗装,Painting
出資,investment
跡地,ruins
鹿,deer
伊達,Date
天然,natural
証拠,evidence
退職,retirement
突然,suddenly
ジャケット,Jacket
卒,Graduation
落語,Rakugo
起点,starting point
梁,beam
症状,symptoms
ブログ,blog
オーケストラ,orchestra
ユース,youth
一帯,whole area
校舎,school building
デモ,demo
前期,Early period
武将,military commander
必ず,surely
あらゆる,every
補給,supply
近隣,neighborhood
スミス,Smith
言及,mention
ファミリー,family
ステーション,station
前田,Maeda
積,product
アナログ,analog
海洋,ocean
都道府県,prefectures
資産,assets
要因,factor
紅,deep red
地形,terrain
偽,false
縮小,reduction
正規,regular
上杉,Uesugi
上演,performance
ウイルス,virus
想定,Assumption
ボストン,boston
有限,limited
受験,Examination
ヤード,yard
総裁,President
接近,approach
移管,transfer
授業,class
陥落,fall
勧める,recommend
ハワイ,Hawaii
近畿,Kinki
荷,load
直径,diameter
再現,reproduction
制覇,Conquest
独,Germany
立ち上げる,Launch
推測,guess
キリスト,Christ
出席,attendance
ステークス,stakes
私立,private
かも,maybe
向く,turn towards
弱い,weak
リニューアル,renewal
空襲,air raid
短縮,shortening
ハード,hard
人種,race
はずだ→はず,should → should
余儀無い,unavoidable
布,cloth
詳しい,be familiar with
ポスト,post
安打,hit
方言,dialect
質量,mass
牡馬,stallion
ワイン,wine
受け取る,receive
踊る,dance
レーダー,radar
夜間,night time
東映,Toei
地図,map
南海,Nankai
歯,teeth
ダブルス,doubles
ブラウン,Brown
打者,batter
満州,Manchuria
菌,fungus
非難,condemnation
相談,consultation
印象,impression
寄せる,send
暫定,preliminary
約束,promise
下院,lower house
ナポレオン,napoleon
共産,communism
ナンバー,number
肩,shoulder
観察,observation
運航,Operation
管区,district
雇用,employment
多摩,Tama
選定,Selection
キャンプ,camp
題材,subject matter
鉱山,mine
ラウンド,round
外務,foreign affairs
勲章,medal
アート,art
エドワード,edward
割り合い,proportion
容量,capacity
材,material
ヒトラー,hitler
猿,monkey
牽引,towing
晩年,later years
学名,scientific name
助教授,assistant professor
文部,Literature
育てる,nurture
英雄,hero
ヘビー,heavy
任じる,appoint
解除,Cancellation
一貫,consistent
ツール,tool
調べる,investigate
簡易,Simple
柔道,judo
フロント,front
駐車,Parking
古くから→古く,since ancient times → old
着用,wear
偵察,reconnaissance
米軍,U.S. Army
移植,transplant
祐,Yu
幼少,childhood
構内,premises
東宝,Toho
審議,Deliberation
相撲,Sumo
表彰,Award
ブルガリア,Bulgaria
創,Creation
犠牲,Sacrifice
前面,front
フィリップ,philippe
繋ぐ,connect
魔,devil
放棄,abandonment
広域,wide area
不動産,real estate
東海道,tokaido
法学,jurisprudence
奏者,player
診断,diagnosis
没する,die
不満,dissatisfaction
運賃,fare
白人,white people
って,That's it
次に,next
農,Agriculture
番人,watchman
ようやく,at last
動員,mobilization
市町村,Municipality
君主,monarch
国連,united nations
船舶,ship
詰まる,get clogged
毛利,Mouri
決議,resolution
当局,authorities
運輸,transportation
メッセージ,message
クロアチア,Croatia
事例,case study
人形,doll
損傷,damage
フロリダ,florida
録,record
トム,tom
甲板,deck
神学,theology
見解,opinion
会館,Hall
請求,Claim
源氏,Genji
対決,Showdown
宮殿,palace
鋼,steel
自主,independence
内外,inside and outside
コミックス,comics
国軍,national army
運河,canal
双,twin
トレード,trade
退団,Retirement
提示,presentation
停留所,stop
背,back
月間,monthly
労,labor
天体,Celestial body
ニュージーランド,new zealand
脇,side
厚い,thick
高原,plateau
シングルス,singles
敗戦,defeat
混合,mixture
ヴィルヘルム,wilhelm
児,child
缶,can
伝承,tradition
ラグビー,rugby
総理,prime minister
刺,thorn
剛,Tsuyoshi
デザイナー,designer
艦長,captain
最新,latest
養成,training
アラブ首長国連邦,United Arab Emirates
ボス,boss
蓮,lotus
敷く,lay
大気,atmosphere
やはり,also
航路,sea ​​route
応用,application
並み,average
署名,signature
牧,Maki
土曜日,Saturday
獣,beast
酸素,oxygen
解,Solution
上流,upstream
間隔,interval
搭乗,Boarding
マスター,master
乗客,passenger
東方,Touhou
駐屯,Garrison
黒人,black people
直す,fix
寛永,Kan'ei
明るい,bright
薄い,thin
新田,Nitta
ボックス,box
賢,wise
使える,Can be used
口径,Caliber
合唱,Chorus
日常,everyday life
突破,breakthrough
厚生,public welfare
乗せる,ride
音源,sound source
取れる,can be taken
軽量,lightweight
探偵,Detective
プロセス,process
歩く,walk
価,value
業績,performance
回す,turn
一時的,temporary
当てる,guess
粒子,particle
農民,farmers
日曜日,Sunday
宇都宮,Utsunomiya
評議,council
ワイド,wide
投稿,Post
前提,premise
町村,town/village
バージニア,virginia
ルーマニア,Romania
寝る,sleep
演じる,play
右衛門,Uemon
切り替える,switch
検察,prosecutor
戦術,tactics
会計,accounting
数値,numerical value
入賞,Winning a prize
ショップ,shop
日曜,Sunday
あなた,you
現行,current
水域,body of water
疑う,doubt
ダービー,derby
弥,Ya
課題,assignment
後部,rear end
消す,erase
見付ける,find
逆転,Reversal
著しい,remarkable
瀬戸,Seto
レストラン,restaurant
頻繁,frequent
従兄弟,cousin
欲しい,want
山城,Yamashiro
演技,acting
パフォーマンス,performance
山陽,Sanyo
ペア,pair
報,Information
中日,Chunichi
義塾,Keijuku
衰退,decline
官僚,Officials
商人,merchant
宮廷,court
会見,press conference
恋愛,love affair
新型,new model
町名,Town name
降格,Demotion
悩む,worry
教員,faculty
開校,Opening of school
判,judgment
ないし,No
確率,probability
環状,annular
オンライン,online
互換,compatible
官,Government
マラソン,marathon
黄金,gold
裕,Yutaka
豪,Australia
上手い,Good
客車,passenger car
ジャクソン,jackson
反映,reflection
征服,conquest
コート,coat
水戸,Mito
浴びる,bathe
通勤,commute
人数,Number of people
挿入,insert
楽章,movement
車種,Car model
褐色,brown
適切,appropriate
顕,visible
時刻,time
宏,Hiroshi
芸人,comedian
終盤,final stage
前方,forward
疾患,disease
速い,fast
気付く,notice
飼育,Breeding
事前,advance
グランド,ground
圧縮,compression
握る,grasp
横断,crossing
ヤング,young
届く,reach
元禄,Genroku
バイオリン,violin
どのよう,How
インターナショナル,international
中断,interruption
内戦,civil war
恐らく,perhaps
割る,divide
循環,Circulation
豊か,rich
青山,Aoyama
若者,youth
パートナー,partner
命じる,command
大人,adult
突入,rush
雅,Miyabi
協同,cooperation
コメディー,comedy
詰める,pack
すら,Even
日々,day to day
甲子園,Koshien
構える,take a stand
建立,erected
阪急,Hankyu
繰り広げる,unfold
考案,invention
創作,creation
儲ける,make money
有機,organic
砲塔,turret
トヨタ,Toyota
島津,Shimazu
市営,Municipal
騎乗,horse riding
乗り場,platform
飛行機,plane
炉,furnace
意思,intention
主として,mainly
チェコ,czech
コント,Conte
健,Ken
棒,rod
テロ,terrorism
命中,hit
時計,clock
外観,exterior
読者,reader
正面,front
工作,Crafts
改編,Reorganization
焼く,bake
広げる,spread
疑問,doubt
サンフランシスコ,San Francisco
増やす,increase
増大,increase
教室,classroom
社会党,Socialist Party
オリコン,oricon
コロンビア,Columbia
縦,vertical
封,Seal
実力,real ability
マッチ,match
パート,part
心地,feeling
比例,proportional
終点,the last stop
灯,light
冠する,crown
批評,criticism
戦場,battlefield
題,subject
回収,collect
加速,acceleration
東南,southeast
変,strange
ショッピング,shopping
何等か,Something like that
卯,Rabbit
紋,Crest
原理,principle
任期,term of office
中華民国,republic of china
審判,referee
論争,controversy
リトアニア,Lithuania
任ずる,entrust
素材,material
豊富,abundance
勝負,game
配属,Assignment
開放,open
シンガポール,Singapore
種目,Event
将棋,Shogi
前者,former
通貨,currency
修士,master's degree
タッチ,touch
二重,double
電源,power supply
模型,model
モチーフ,motif
証言,testimony
ブック,book
テープ,tape
決意,determination
チベット,Tibet
ドライブ,drive
こなす,do it
隊長,Captain
三国,Mikuni
配布,distribution
遡る,go back
活発,active
傍ら,beside
朱,Vermilion
百貨店,department store
財務,finance
夕方,evening
眼,eye
堺,Sakai
大坂,Osaka
故郷,hometown
タンク,tank
認可,authorization
合戦,battle
半年,half a year
有料,Paid
三井,Mitsui
赴く,go
昔,long ago
底,bottom
噂,rumor
グレード,grade
探検,expedition
文章,sentence
限界,limit
秦,Qin
法学部,Faculty of Law
同人,Doujin
レンズ,lens
従軍,military service
伸ばす,stretch
悪魔,devil
内務,internal affairs
独占,Exclusive
格闘,fighting
動力,power
南アフリカ,South Africa
上級,advanced
パーティー,party
入門,Introduction
センチ,centimeter
衝撃,impact
タイヤ,tire
神宮,Shrine
衛生,hygiene
才能,talent
橋本,Hashimoto
法案,bill
ウエスト,waist
ウッド,wood
済む,Finished
水上,On the water
マイ,My
レンタル,rental
排除,exclusion
救う,save
放出,release
排気,exhaust
小川,stream
オーディション,audition
踏む,step on
牝馬,mare
北陸,Hokuriku
水道,water supply
登,Noboru
認知,cognition
フィル,fill
憲,Ken
国籍,nationality
山崎,Yamazaki
邸,residence
塾,cram school
抗争,conflict
彫刻,sculpture
ディレクター,director
たばこ,Tobacco
マイク,microphone
トラブル,trouble
低迷,slump
高山,Takayama
大衆,masses
砲撃,shelling
胸,chest
逃亡,escape
全線,All lines
氷,ice
埋葬,burial
討つ,attack
旧制,old system
減る,decrease
舎,building
主役,Main character
符号,sign
南方,south
開局,Opening
助手,assistant
前線,front
騒動,commotion
空中,air
余,The rest
必ずしも,necessarily
膜,film
山岳,mountains
ミュンヘン,munich
徹底,thoroughness
俺,I
配給,distribution
長らく,long
八幡,Yahata
キック,kick
行事,Event
払う,pay
ジョンソン,johnson
オフィス,office
故,late
コンテンツ,content
落選,Failed
著,Author
退役,retired
北九州,Kitakyushu
柏,oak
周期,period
受,Receiving
庫,warehouse
クロス,cross
交易,trade
入場,Admission
退任,Retirement
検出,detection
金曜日,Friday
トレーニング,training
中隊,company
大西洋,atlantic ocean
キャンペーン,campaign
遺体,corpse
インドネシア,Indonesia
リア,rear
寧ろ,rather
ベイ,bay
建国,Founding of the country
併合,annexation
絶滅,extinction
本当,TRUE
オールスター,all star
傍,Beside
エア,air
敷設,laying
河内,Kawachi
外す,remove
観点,point of view
コンテスト,Contest
恵む,be blessed with
編纂,compilation
